title,price,location,property_type,bedrooms,bathrooms,area
Apartment for sale in zahraa el maadi 160m .,"
          1,840,000
              EGP  ","10th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,160 sqm
197 m new Andalus immediate receipt - 3 years inst,"
          1,793,600
              EGP  ","Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",Apartment,3 ,2 ,197 sqm
furnished  Apartment  for rent in Sarayat El Maadi,"
          3,500,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,200 sqm
Apartment with great location with 60 month,"
          1,564,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,230 sqm
Apartment for sale in zahraa elmaadi 140m .,"
          1,200,000
              EGP  ","7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,1 ,140 sqm
Apartment In Midtown Condo New Capital 210m,"
          1,867,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,210 sqm
Ground Apartment in Bloomfield 5 % Down Payment,"
          2,889,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,190 sqm
In Eastown SODIC 5th settlement apartment for sale,"
          1,400,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,190 sqm
Apartment For Sale Maadi nerko Cairo super lux,"
          1,550,000
              EGP  ","Masaken Nerco St., Degla, Hay El Maadi, Cairo",Apartment,3 ,2 ,170 sqm
Apartment for sale Cairo Festival City on the Club,"
          3,060,000
              EGP  ","Cairo Festival City, North Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,133 sqm
apartment for sale in eastown  --  (  sodic ),"
          2,600,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,164 sqm
Apartment for sale in zahraa elmaadi 170m .,"
          1,250,000
              EGP  ","Thirteenth Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,2 ,170 sqm
Apartment 179 + 13 green terrace wide view  Dejoya,"
          1,790,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,179 sqm
Apartment with garden for sale at eastown sodic,"
          2,773,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,154 sqm
188 m bait  Watn - 5th district - 2 years delivery,"
          1,244,400
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,188 sqm
شقة 3 غرف تقسيط 7 سنوات الباتيو اورو التجمع الخامس,"
          2,400,000
              EGP  ","El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,166 sqm
Apartment for sale in zahraa elmaadi 150m .,"
          1,500,000
              EGP  ","7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,150 sqm
finished Apartment 10% DP in Heliopolis Towers,"
          2,600,000
              EGP  ","Porto Heliopolis, Almazah, Heliopolis - Masr El Gedida, Cairo",Apartment,2 ,3 ,204 sqm
Apartment for sale in Tejan compound 205m + Garden,"
          2,200,000
              EGP  ","Tijan, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,4 ,3 ,205 sqm
Apartment In Midtown Condo New Capital 210m,"
          1,640,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,210 sqm
"Apartment 9years installment 165,000 Down Payment","
          1,100,000
              EGP  ","Park Lane, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm
apartment 190 m for sale new capital discount 25%,"
          1,725,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,190 sqm
Apartment In Midtown Condo New Capital 120m,"
          800,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm
Apartment for sale in zahraa elmaadi 125m .,"
          980,000
              EGP  ","7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,2 ,125 sqm
Apartment for sale in zahraa elmaadi 125m .,"
          980,000
              EGP  ","7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,2 ,125 sqm
