brand,model,trim,year,origin,color,options,fuel,gear,drivetrain,cylinders,engine size,condition,kilometer,location,aminities,cabin
Kia,Sportage,LX,2019,Saudi,White,Standard,Gasoline,Automatic,Double (4x4),4,2.0,Used,97263 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Tire Pressure Monitoring System', 'Electronic Stability Program', 'Safety belts', 'Hill Descent Control', 'Traction Control System', 'Sensors control', 'Front & Rear Power Windows', ' Rear AC Vents', 'Steering Wheel Controls', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Remote Entry', 'Drive Mode', 'Manual seats\t', 'Echo', 'ISOFIX', 'Rear Central Arm Rest', 'Power connection', 'Bluetooth', 'USB Input', 'Radio', 'Rim Wheels', 'Electrical Mirrors', 'Front Fog Lamps', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Rear spoiler', 'Flasher', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
Toyota,Yaris ,Y,2021,Saudi,Brown,Standard,Gasoline,CVT,FWD,4,1.5,Used,56333 km,Riyadh,"['Electronic Brakeforce Distribution', 'Brake Assist System', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Traction Control System', 'Front & Rear Power Windows', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Manual seats\t', 'Bluetooth', 'USB Input', 'Rear Camera', 'AUX', 'Power connection', 'Media screen', 'Radio', 'Electrical Mirrors', 'Cover Wheels', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Rear Fog Lights']",
Toyota,Yaris ,Y,2021,Saudi,another_color,Standard,Gasoline,CVT,FWD,4,1.5,Used,61452 km,Riyadh,"['Electronic Brakeforce Distribution', 'Brake Assist System', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Traction Control System', 'Tire Pressure Monitoring System', 'Front & Rear Power Windows', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Manual seats\t', 'Remote Entry', 'Bluetooth', 'USB Input', 'AUX', 'Power connection', 'Radio', 'CD player', 'Electrical Mirrors', 'Cover Wheels', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Rear Fog Lights', 'Flasher']",
Kia,Sportage,LX,2019,Saudi,White,Standard,Gasoline,Normal,Double (4x4),4,2.0,Used,108213 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Electronic Brakeforce Distribution', 'Hill Descent Control', 'Traction Control System', 'Sensors control', 'Front & Rear Power Windows', ' Rear AC Vents', 'Steering Wheel Controls', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Drive Mode', 'Mirrors (Black)', 'Manual seats\t', 'Echo', 'ISOFIX', ' Foldable rear seats', 'Rear Central Arm Rest', 'Power connection', 'Bluetooth', 'USB Input', 'Radio', 'Rim Wheels', 'Electrical Mirrors', 'Front Fog Lamps', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Rear spoiler', 'Flasher', 'Rear Fog Lights']",
Kia,Sportage,LX,2019,Saudi,White,Standard,Gasoline,Automatic,Double (4x4),4,2.0,Used,100642 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Hill Descent Control', 'Traction Control System', 'Sensors control', 'Front & Rear Power Windows', ' Rear AC Vents', 'Steering Wheel Controls', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Remote Entry', 'Drive Mode', 'Manual seats\t', 'Echo', 'ISOFIX', 'Rear Central Arm Rest', 'Power connection', 'Bluetooth', 'USB Input', 'Radio', 'Rim Wheels', 'Electrical Mirrors', 'Front Fog Lamps', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Rear spoiler', 'Flasher', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
Toyota,Yaris ,Y,2019,Saudi,another_color,Standard,Gasoline,CVT,FWD,4,1.5,Used,110202 km,Riyadh,"['Traction Control System', 'Safety belts', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Tire Pressure Monitoring System', 'Electronic Stability Program', 'Brake Assist System', 'Electronic Brakeforce Distribution', 'Front & Rear Power Windows', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Remote Entry', 'Manual seats\t', 'Bluetooth', 'CD player', 'USB Input', 'AUX', 'Power connection', 'Radio', 'Electrical Mirrors', 'Cover Wheels', 'Rear Parking Sensors', 'Halogen Lamps', 'LED Lamps', 'Window Defroster', 'Flasher', 'Rear Fog Lights']",
Lexus,LX,570 S Sport,2021,Saudi,Oil Green,Full,Gasoline,Automatic,Double (4x4),8,5.7,Used,37764 km,Riyadh,"['Traction Control System', 'Crawl Control', 'Forward Collision Warning', 'Auto Hold', 'Dual Airbag (Driver & Passenger)', 'Side Airbags', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Hill start Assist Control', 'Auto Lock System', 'Safety belts', 'Collision Un-locker', 'Electronic Brakeforce Distribution', 'Blind Spot Information', 'Lane Departure Warning System', 'Rear Central Arm Rest', 'Drive Mode', 'Memory Seats', 'Leather Seats', 'seat heating / cooling', ' Rear AC Vents', 'Power seats', 'Fingerprint Ignition', 'Voice control', 'Steering Wheel Controls', 'Mirrors (Black)', 'Cruise Control', 'Front & Rear Power Windows', 'Echo', 'A/C Auto', ' Foldable rear seats', 'Remote Entry', 'Bluetooth', 'CD player', 'Rear Camera', 'Navigation System', 'Power connection', 'Radio', 'Rear DVD', 'Media screen', 'Electrical Fold Outside Mirror', 'Rear spoiler', 'Rear Fog Lights', 'Daytime Running Lights', 'Headlamp washers', 'Side sills', 'Electrical Mirrors', 'Front Fog Lamps', 'Rim Wheels', 'Rear Parking Sensors', 'Sunroof', 'Halogen Lamps', 'Window Defroster', 'Front sensors', 'Side Turn Signals']",
Toyota,Highlander,LE,2022,Saudi,Silver,Standard,Hybrid,CVT,FWD,4,2.5,Used,12310 km,Riyadh,"['Electronic Brakeforce Distribution', 'Forward Collision Warning', 'Auto Hold', 'Dual Airbag (Driver & Passenger)', 'Side Airbags', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Safety belts', 'Lane Departure Warning System', 'Traction Control System', 'Power seats', 'Echo', ' Rear AC Vents', ' Foldable rear seats', 'Fingerprint Ignition', 'Rear Central Arm Rest', 'Steering Wheel Controls', 'Back Side A/C Control ', 'Cruise Control', 'Front & Rear Power Windows', 'Fabric Seats', 'Remote Entry', 'Drive Mode', 'Voice control', 'A/C Manual', 'Bluetooth', 'USB Input', 'Rear Camera', 'Power connection', 'Media screen', 'Radio', 'Electrical Fold Outside Mirror', 'Electrical Mirrors', 'Front Fog Lamps', 'Rim Wheels', 'Rear Parking Sensors', 'Side Turn Signals', 'Rear spoiler', 'Rear Fog Lights', 'Headlight Electronic Adjustment', 'Halogen Lamps', 'Window Defroster']",
Suzuki,Dzire,GL,2022,Saudi,Brown,Standard,Gasoline,Automatic,FWD,4,1.2,Used,25858 km,Riyadh,"['Safety belts', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Electronic Brakeforce Distribution', 'Velvet Seats', 'Steering Wheel Controls', 'Front & Rear Power Windows', 'Car Key', 'A/C Manual', 'Manual seats\t', ' Rear AC Vents', 'Power connection', 'Radio', 'Bluetooth', 'CD player', 'Electrical Mirrors', 'Front Fog Lamps', 'Rim Wheels', 'Halogen Lamps', 'Side Turn Signals', 'Xenon lamps', 'Rear Fog Lights']",
Hyundai,Accent,GL,2020,Saudi,White,Standard,Gasoline,Automatic,FWD,4,1.4,Used,76359 km,Riyadh,"['Traction Control System', 'Safety belts', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Tire Pressure Monitoring System', 'Electronic Stability Program', 'Brake Assist System', 'Electronic Brakeforce Distribution', ' Foldable rear seats', ' Rear AC Vents', 'Steering Wheel Controls', 'Front & Rear Power Windows', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Remote Entry', 'Bluetooth', 'USB Input', 'AUX', 'Power connection', 'Radio', 'Electrical Mirrors', 'Cover Wheels', 'Halogen Lamps', 'Window Defroster', 'Side Turn Signals', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
Ford,Taurus,امبيانتي,2020,Saudi,another_color,Standard,Gasoline,Automatic,FWD,4,2.0,Used,63904 km,Riyadh,"['Safety belts', 'Dual Airbag (Driver & Passenger)', 'Side Airbags', 'ABS', 'Electronic Stability Program', 'Brake Assist System', 'Traction Control System', 'Electronic Brakeforce Distribution', 'Auto Hold', 'Fabric Seats', 'Voice control', ' Rear AC Vents', 'Fingerprint Ignition', ' Foldable rear seats', 'Steering Wheel Controls', 'Cruise Control', 'Front & Rear Power Windows', 'A/C Auto', 'Remote Entry', 'Power seats', 'Paddle shift', 'Bluetooth', 'USB Input', 'Power connection', 'Media screen', 'Radio', 'AUX', 'Daytime Running Lights', 'Headlight Electronic Adjustment', 'Electrical Mirrors', 'Rim Wheels', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Side Turn Signals', 'Open Trunk Electricity', 'Rear Fog Lights']",
Nissan,Xtrail,S,2017,Saudi,White,Standard,Gasoline,Automatic,FWD,4,2.5,Used,98546 km,Riyadh,"['Electronic Brakeforce Distribution', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Safety belts', 'Traction Control System', 'Voice control', ' Rear AC Vents', 'Steering Wheel Controls', 'Cruise Control', 'Front & Rear Power Windows', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Remote Entry', 'Bluetooth', 'CD player', 'USB Input', 'AUX', 'Power connection', 'Radio', 'Electrical Mirrors', 'Cover Wheels', 'Halogen Lamps', 'Window Defroster', 'Side Turn Signals', 'Rear spoiler', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
Toyota,Camry ,GLE,2020,Saudi,White,Half Full,Gasoline,Automatic,FWD,4,2.5,Used,117293 km,Riyadh,"['Auto Hold', 'Sensors control', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Safety belts', 'Electronic Brakeforce Distribution', 'Traction Control System', 'Power seats', 'Mirrors (Black)', 'Rear Central Arm Rest', ' Rear AC Vents', 'Electric car curtain', 'Fingerprint Ignition', 'Steering Wheel Controls', 'Cruise Control', 'Front & Rear Power Windows', 'Fabric Seats', 'A/C Auto', 'Remote Entry', 'Voice control', 'Bluetooth', 'CD player', 'USB Input', 'Rear Camera', 'AUX', 'Power connection', 'Media screen', 'Radio', 'Rear Fog Lights', 'Electrical Fold Outside Mirror', 'Electrical Mirrors', 'Front Fog Lamps', 'Rim Wheels', 'Rear Parking Sensors', 'Sunroof', 'Halogen Lamps', 'Window Defroster', 'Front sensors', 'Side Turn Signals']",
Ford,Taurus,امبيانتي,2020,Saudi,another_color,Standard,Gasoline,Automatic,FWD,4,2.0,Used,118833 km,Riyadh,"['Safety belts', 'Dual Airbag (Driver & Passenger)', 'Side Airbags', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Traction Control System', 'Electronic Brakeforce Distribution', 'Auto Hold', 'Voice control', ' Rear AC Vents', 'Fingerprint Ignition', ' Foldable rear seats', 'Steering Wheel Controls', 'Rear Central Arm Rest', 'Cruise Control', 'Front & Rear Power Windows', 'Fabric Seats', 'A/C Auto', 'Remote Entry', 'Power seats', 'Paddle shift', 'Bluetooth', 'USB Input', 'Power connection', 'Media screen', 'Radio', 'Daytime Running Lights', 'Headlight Electronic Adjustment', 'Electrical Mirrors', 'Rim Wheels', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Side Turn Signals', 'Open Trunk Electricity', 'Rear Fog Lights']",
BMW,7 Series,730Li,2017,Saudi,Grey ,Standard,Gasoline,Automatic,RWD,4,2.0,Used,88295 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Safety belts', 'Electronic Brakeforce Distribution', 'Traction Control System', 'Sensors control', 'Auto Hold', 'Auto Lock System', 'Front & Rear Power Windows', 'Leather Seats', ' Rear AC Vents', 'Fingerprint Ignition', 'Steering Wheel Controls', 'Cruise Control', 'Remote Entry', 'Mouse controller', 'Drive Mode', 'Memory Seats', 'Power seats', 'Echo', 'Rear Central Arm Rest', 'Electric car curtain', 'Power connection', 'Bluetooth', 'USB Input', 'Navigation System', 'Rear DVD', 'Media screen', 'Radio', 'Rim Wheels', 'Electrical Mirrors', 'Rear Parking Sensors', 'Panorama Sunroof', 'Halogen Lamps', 'Window Defroster', 'Front sensors', 'Side Turn Signals', 'Rear Fog Lights', 'Daytime Running Lights', 'Headlight Electronic Adjustment']",
