title,price,model_year,odo,aminities,specs,number_of_seats,drive_type,number_of_cylinders,body_type,transmission_type,fuel_type,rim_size,first_owner,accidents_(not_verified),currently_financed?,seller_nationality,no._of_keys,roof_type,color,service_history,warranty,service_contract
Nissan X-Trail I4 2.5L,"
SAR 54,000 ",2016 ,"72,000 KM","['Cruise Control', 'dynamic radar cruise control', 'Bluetooth', 'premium sound premium audio premium audio system', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,17,Yes,No,No,India,2,,,,,
Chrysler 300 V6 3.6L Limited,"
SAR 30,000 ",2013 ,"207,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,6,Sedan,Automatic,Petrol,R18,,3 or more accidents,No,Saudi Arabia,1,,,,,
Nissan Altima I4 2.5L S,"
SAR 20,500 ",2010 ,"273,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,16,,No,No,Yemen,1,Sun Roof,,,,
GMC Acadia V6 3.6L,"
SAR 22,000 ",2012 ,"135,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Rear Mirror Camera', 'dynamic radar cruise control', 'premium sound premium audio premium audio system', 'Remote engine starter', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power Lumbar', 'Pre crash system pre crash safety system', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,2WD,6,SUV,Automatic,Petrol,19,,No,No,Egypt,2,,,,,
Mazda 6 I4 2.5L,"
SAR 55,000 ",2017 ,"87,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'LED Headlights', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,Yes,No,No,Pakistan,1,,Red,Yes in Garage,,
Chevrolet Traverse V6 3.5L ,"
SAR 100,000 ",2020 ,"55,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,7,4WD,4,SUV,Automatic,Petrol,١٨,Yes,No,No,Algeria,2,,,Yes in Garage,,
Hyundai Tucson I4 1.7L Diesel,"
SAR 60,000 ",2016 ,"91,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Leather Seats', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",Non GCC Specs,5,2WD,4,SUV,Automatic,Diesel,١٧,,No,No,Egypt,2,,Silver,,,
Hyundai Tucson I4 1.6L GDI,"
SAR 71,000 ",2019 ,"84,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Power foldable mirrors', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,17,Yes,No,No,Saudi Arabia,2,,Red,,,
MG RX5 I4 2.0L,"
SAR 56,000 ",2020 ,"50,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Power foldable mirrors', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,18,Yes,No,No,Saudi Arabia,2,Panoramic Roof,,Yes in Garage,,
Hyundai Accent I4 1.6L,"
SAR 44,000 ",2021 ,"28,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,16,Yes,3 or more accidents,No,Saudi Arabia,2,Sun Roof,Grey,Yes in Garage,,
