Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
"Pets Allowed,Electricity Meter,Landline",3,2,220,,2,For Sale,Apartment,Cash,"1,300,000 EGP",شقة للبيع 200 متر هااى لوكس بسعر لقطة,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,110,No,1,For Sale,Apartment,Cash,"600,000 EGPnegotiable",ارخص شقه للبيع جاردنيا 1 بالتجمع الخامس اس...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Landline",2,2,145,No,2,For Sale,Apartment,Cash,"1,600,000 EGPnegotiable",شقة 145 متر بفيلات الحى الاول منطقة مميزة ...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,160,No,4,For Sale,Apartment,Cash,"1,650,000 EGPnegotiable",شقة 160 م عمارات الحى الثالث بجانب فاطمة ا...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,220,,Ground,For Sale,Duplex,Cash or Installment,"675,000 EGP",دوبلكس للبيع 220متر في التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Security,Elevator",3,1,121,No,Ground,For Sale,Apartment,Cash or Installment,"900,000 EGP",كمبوند جاردنيا مدينة نصر طريق السويس اخر ش...,New Capital City,Abu Al-Hool
"Balcony,Covered Parking",3,2,175,No,2,For Sale,Apartment,Cash,"1,050,000 EGP",شقه للبيع بجاردينيا التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Pets Allowed,Security,Electricity Meter",2,1,110,,1,For Sale,Apartment,Installment,"750,000 EGPnegotiable",شقه بجاردينيا هايتس التجمع الخامس ( استلام...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,125,No,3,For Sale,Apartment,Cash,800 EGPnegotiable,شقه للبيع بجاردنيا هايتس ١ (التجمع الخامس),New Cairo - El Tagamoa,Abu Al-Hool
"Pets Allowed,Electricity Meter,Landline",3,2,220,,2,For Sale,Apartment,Cash,"1,300,000 EGP",شقة للبيع 200 متر هااى لوكس بسعر لقطة,New Cairo - El Tagamoa,Abu Al-Hool
,3,1,143,No,3,For Sale,Apartment,Cash or Installment,"5,900 EGP",جاردينيا هايتس التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,130,No,2,For Sale,Apartment,Cash or Installment,"767,000 EGP",جاردينيا هايتس التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,150,,1,For Sale,Apartment,Installment,"900,000 EGP",شقه للبيع في جاردينيا هايتس,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,115,No,3,For Sale,Apartment,Cash or Installment,"850,000 EGP",شقه لقطه تاني نمره من شارع محمد نجيب التجم...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,135,No,1,For Sale,Apartment,Cash,"750,000 EGPnegotiable",شقه للبيع في كمبوند ابو الهول في التجمع ال...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,120,No,1,For Sale,Apartment,Cash or Installment,"708,000 EGP",راحتك وسعادتك اهم شيء عندنا علشان كدة امتل...,New Cairo - El Tagamoa,Abu Al-Hool
,1,1,200,,4,For Sale,Apartment,Cash or Installment,"600,000 EGPnegotiable",رووف كامل مساحة ٢٠٠ متر فى التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,120,,3,For Sale,Apartment,Cash or Installment,"5,900 EGP",جاردينيا هايتس التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,90,No,2,For Sale,Apartment,Cash or Installment,"495,000 EGP",جاردينيا هايتس التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Landline",3,3,200,,Ground,For Sale,Apartment,Installment,"1,000,000 EGP",للبيع شقه استلام فوري بتسهيلات بالتجمع الخ...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,110,,1,For Sale,Apartment,,"640,000 EGPnegotiable",لراغبي التميز، شقة ١١٠ متر في جاردينيا هاي...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,100,No,3,For Sale,Apartment,Cash,"590,000 EGP",شقة للبيع بالتجمع,New Cairo - El Tagamoa,Abu Al-Hool
