Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Landline,Elevator",3,2,135,No,5,For Sale,Apartment,Cash,"1,600,000 EGP",مدينتي ١٣٥م بال B1 بحري قريبه جدا من الخدم...,Madinaty,Madinaty
"Balcony,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas",3,2,140,No,2,For Sale,Apartment,Cash,"355,000 EGPnegotiable",شقة بسعر التكلفة في الحي المتميز مدينة بدر...,Badr City,El Ashgar District
,3,3,180,No,Ground,For Sale,Apartment,Cash,"3,100,000 EGP",فرررصة برحاب ٢ للبيع شقة ١٨٠م ارضي بحديقة ...,Rehab City,
"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",2,1,107,No,6,For Sale,Apartment,Cash,"1,150,000 EGP",شقة بمدينتي بال B1 نموذج 100 اقل من سعر ال...,Madinaty,Madinaty
"Balcony,Electricity Meter",2,1,80,No,6,For Sale,Apartment,Cash,"185,000 EGP",شقة تشطيب فاخر للبيع,Marg,
Balcony,2,1,70,No,4,For Sale,Apartment,Cash,"200,000 EGP",شقة نصف تشطيب في اليكو سيتي بدر,Badr City,Alico city
"Electricity Meter,Water Meter,Natural Gas",3,1,85,No,6,For Sale,Apartment,Cash,"290,000 EGPnegotiable",شقة للبيع العمارات مصر العليا واجهة بحرية ...,Zahraa Al Maadi,
,3,2,130,,2,For Sale,Apartment,Cash,"520,000 EGP",فرصة شقة خلفي مميزة 2حمام للبيع.. لوكيشن ر...,Shorouk City,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,100,No,3,For Sale,Apartment,Cash,"470,000 EGP",شقتين للبيع فى الزيتون,Helmeyat El Zaytoun,
,3,1,120,No,6,For Sale,Apartment,Cash,"925,000 EGP",شقه للبيع لوقته,Heliopolis,
,3,1,130,No,1,For Sale,Apartment,Cash,"1,100,000 EGP",شقه لقطه البيع,Heliopolis,
"Water Meter,Landline",3,1,90,No,8,For Sale,Apartment,Cash,"300,000 EGPnegotiable",شقة للبيع 300 الف قابل للتفاوض,Obour City,
,2,1,82,,3,For Sale,Apartment,Cash,"450,000 EGP",شقه تمليك في الشروق امام مستفي الشروق 82مت...,Helmeyat El Zaytoun,
Security,3,3,177,No,1,For Sale,Apartment,Cash,"1,550,000 EGPnegotiable",شقه للبيع بمدينه هليوبوليس الجديده,New Heliopolis,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100,No,5,For Sale,Apartment,Cash,"350,000 EGP",شقة ١٠٠ متر بحدائق حلوان,Hadayek Helwan,
,3,3,207,No,1,For Sale,Apartment,Cash,"90,025 EGP",شقه للبيع,Helwan,
"Balcony,Security,Covered Parking,Natural Gas,Landline,Elevator",2,1,86,No,1,For Sale,Apartment,Cash,"550,000 EGP",للبيع شقة بعمارات الضباط زهراء مدينة نصر,Nasr City,
Central A/C & heating,3,2,175,No,4,For Sale,Apartment,Cash,"1,500,000 EGP",شقه للبيع بالهرم الرئيسي,New Cairo - El Tagamoa,Not in Compound
,3,3,211,No,1,For Sale,Apartment,Cash,"2,400,000 EGP",للبيع شقه بمدينتي 211متر فيو وايد جاردن,Madinaty,Madinaty
"Balcony,Security,Pets Allowed,Elevator",4,2,215,No,2,For Sale,Apartment,Cash,"7,000 EGP",شقة للبيع بالمعراج العلوى أمام خير زمان ٢١...,Zahraa Al Maadi,
"Electricity Meter,Water Meter,Natural Gas",2,1,82,,3,For Sale,Apartment,Cash,"450,000 EGPnegotiable",شققه في الاسكان الاستسماري 82م محطه السوبر...,Helmeyat El Zaytoun,
"Built in Kitchen Appliances,Electricity Meter,Natural Gas,Landline,Elevator",3,2,220,No,10+,For Sale,Apartment,Cash,"1,250,000 EGP",شقه للبيع,Nasr City,VGK
,2,2,135,No,2,For Sale,Apartment,Cash,"1,400,000 EGPnegotiable",شقه للبيع بمصر الجديده,Heliopolis,
,2,1,65,No,4,For Sale,Apartment,Cash,"150,000 EGP",شقه بالعجيزي تشطيب الترا سوبر لوكس بمساكن ...,Nasr City,
Balcony,2,1,114,No,2,For Sale,Apartment,Cash,"600,000 EGP",شقه للبيع,Katameya,Kattameya Gate
