,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price
0,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Landline,Elevator",3,2,135.0,0,5,Madinaty,Madinaty,1600000.0
2,No,3,3,180.0,0,0,Rehab City,Not in Compound,3100000.0
3,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",2,1,107.0,0,6,Madinaty,Madinaty,1150000.0
4,"Balcony,Electricity Meter",2,1,80.0,0,6,Marg,Not in Compound,185000.0
6,"Electricity Meter,Water Meter,Natural Gas",3,1,85.0,0,6,Zahraa Al Maadi,Not in Compound,290000.0
7,No,3,2,130.0,0,2,Shorouk City,Not in Compound,520000.0
8,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,100.0,0,3,Helmeyat El Zaytoun,Not in Compound,470000.0
9,No,3,1,120.0,0,6,Heliopolis,Not in Compound,925000.0
10,No,3,1,130.0,0,1,Heliopolis,Not in Compound,1100000.0
11,"Water Meter,Landline",3,1,90.0,0,8,Obour City,Not in Compound,300000.0
12,No,2,1,82.0,0,3,Helmeyat El Zaytoun,Not in Compound,450000.0
13,Security,3,3,177.0,0,1,New Heliopolis,Not in Compound,1550000.0
14,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,0,5,Hadayek Helwan,Not in Compound,350000.0
15,No,3,3,207.0,0,1,Helwan,Not in Compound,90025.0
16,"Balcony,Security,Covered Parking,Natural Gas,Landline,Elevator",2,1,86.0,0,1,Nasr City,Not in Compound,550000.0
17,Central A/C & heating,3,2,175.0,0,4,New Cairo - El Tagamoa,Not in Compound,1500000.0
18,No,3,3,211.0,0,1,Madinaty,Madinaty,2400000.0
19,"Balcony,Security,Pets Allowed,Elevator",4,2,215.0,0,2,Zahraa Al Maadi,Not in Compound,7000.0
20,"Electricity Meter,Water Meter,Natural Gas",2,1,82.0,0,3,Helmeyat El Zaytoun,Not in Compound,450000.0
21,"Built in Kitchen Appliances,Electricity Meter,Natural Gas,Landline,Elevator",3,2,220.0,0,10,Nasr City,VGK,1250000.0
22,No,2,2,135.0,0,2,Heliopolis,Not in Compound,1400000.0
23,No,2,1,65.0,0,4,Nasr City,Not in Compound,150000.0
25,No,3,2,115.0,0,2,Heliopolis,Not in Compound,1500000.0
26,No,3,3,175.0,0,3,Madinaty,Madinaty,2300000.0
27,No,3,2,204.0,1,2,Ramses + Ramses Extension,Not in Compound,2800000.0
28,Private Garden,2,2,96.0,0,0,Madinaty,Not in Compound,1350000.0
29,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,85.0,0,9,Marg,Not in Compound,90000.0
30,"Security,Electricity Meter,Natural Gas,Landline,Elevator",3,2,150.0,0,3,New Cairo - El Tagamoa,Not in Compound,1500000.0
31,"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,165.0,0,3,Nasr City,Not in Compound,750000.0
32,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Landline,Elevator",3,2,175.0,0,2,Maadi,Not in Compound,1111.0
33,No,2,1,90.0,0,7,Helmeyat El Zaytoun,Not in Compound,450000.0
34,"Balcony,Security,Electricity Meter,Natural Gas,Landline,Elevator",3,2,103.0,0,4,Madinaty,Madinaty,1200000.0
35,No,3,3,210.0,0,3,Mokattam,The Square,1700000.0
36,No,3,1,120.0,0,8,Hadayek al-Kobba,Not in Compound,770000.0
37,"Balcony,Security,Covered Parking,Maids Room,Electricity Meter,Water Meter,Elevator",2,1,110.0,0,11,Obour City,Not in Compound,500000.0
