,title,location,bedrooms,bathrooms,area,price,compound
0,Apartment for sale in zahraa el maadi 160m .,"10th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",3,2,160,1840000.0,0
1,197 m new Andalus immediate receipt - 3 years inst,"Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",3,2,197,1793600.0,0
2,furnished  Apartment  for rent in Sarayat El Maadi,"Sarayat Al Maadi, Hay El Maadi, Cairo",3,2,200,3500000.0,0
3,Apartment with great location with 60 month,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,4,230,1564000.0,0
4,Apartment for sale in zahraa elmaadi 140m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",2,1,140,1200000.0,0
5,Apartment In Midtown Condo New Capital 210m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",3,2,210,1867000.0,1
6,Ground Apartment in Bloomfield 5 % Down Payment,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,190,2889000.0,1
7,In Eastown SODIC 5th settlement apartment for sale,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,1400000.0,1
8,Apartment For Sale Maadi nerko Cairo super lux,"Masaken Nerco St., Degla, Hay El Maadi, Cairo",3,2,170,1550000.0,0
9,Apartment for sale Cairo Festival City on the Club,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",2,2,133,3060000.0,0
10,apartment for sale in eastown  --  (  sodic ),"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,164,2600000.0,1
11,Apartment for sale in zahraa elmaadi 170m .,"Thirteenth Sector, Zahraa El Maadi, Hay El Maadi, Cairo",2,2,170,1250000.0,0
12,Apartment 179 + 13 green terrace wide view  Dejoya,"De Joya, New Capital Compounds, New Capital City, Cairo",3,3,179,1790000.0,1
13,Apartment with garden for sale at eastown sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,154,2773000.0,1
14,188 m bait  Watn - 5th district - 2 years delivery,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,188,1244400.0,0
15,شقة 3 غرف تقسيط 7 سنوات الباتيو اورو التجمع الخامس,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,166,2400000.0,1
16,Apartment for sale in zahraa elmaadi 150m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",3,2,150,1500000.0,0
17,finished Apartment 10% DP in Heliopolis Towers,"Porto Heliopolis, Almazah, Heliopolis - Masr El Gedida, Cairo",2,3,204,2600000.0,0
18,Apartment for sale in Tejan compound 205m + Garden,"Tijan, Zahraa El Maadi, Hay El Maadi, Cairo",4,3,205,2200000.0,1
19,Apartment In Midtown Condo New Capital 210m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",3,2,210,1640000.0,1
20,"Apartment 9years installment 165,000 Down Payment","Park Lane, New Capital Compounds, New Capital City, Cairo",2,1,120,1100000.0,1
21,apartment 190 m for sale new capital discount 25%,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",3,3,190,1725000.0,1
22,Apartment In Midtown Condo New Capital 120m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",2,1,120,800000.0,1
23,Apartment for sale in zahraa elmaadi 125m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",2,2,125,980000.0,0
24,Apartment for sale in zahraa elmaadi 125m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",2,2,125,980000.0,0
25,Apartment for sale in zahraa elmaadi 185m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",3,3,185,1700000.0,0
26,Apartment fully finished for sale in Up town Cairo,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",3,3,239,4900000.0,0
27,Apartment 230 m At Al Baron Palace Prime Location,"Tanfez Al Ahkam St., Zahraa El Maadi, Hay El Maadi, Cairo",3,3,230,2300000.0,0
28,Hot Deal Apartment for sale 155M Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,155,3000000.0,1
29,الأن احجز بالمرحلة التانية من مشروعTRUE بمدينة نصر,"True, Nasr City Compounds, Nasr City, Cairo",3,2,104,671360.0,1
30,AlBurouj-apartment 3 bds-finished-5 %DP 14 years .,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,182,155000.0,1
31,A special apartment 75m  in Capital Heights 2,"Capital Heights 2, New Capital Compounds, New Capital City, Cairo",2,1,75,1078000.0,1
32,Apartment For Sale in Prime Location 274M at MVHP,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,274,2600000.0,1
33,Apartment272m in New Cairo with Under market price,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,272,3150000.0,1
34,Apartment for Sale in Mivida Emaar,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,3700000.0,1
35,Apartment 240 m for sale at El Korba Heliopolis.,"Al Thawra St., El Korba, Heliopolis - Masr El Gedida, Cairo",3,2,240,3700000.0,0
36,Duplex 310m for Sale in Uptown Cairo Compound,"The Sierras, Uptown Cairo, Mokattam, Cairo",3,3,310,6100000.0,1
