,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price,title
0,"['Security', 'Covered Parking', 'Elevator']",3,2,135.0,0,5,Madinaty,Madinaty,1600000.0,مدينتي ١٣٥م بال B1 بحري قريبه جدا من الخدم...
1,[],3,3,180.0,0,0,Rehab City,Not in Compound,3100000.0,فرررصة برحاب ٢ للبيع شقة ١٨٠م ارضي بحديقة ...
2,"['Security', 'Elevator', 'Pets Allowed']",2,1,107.0,0,6,Madinaty,Madinaty,1150000.0,شقة بمدينتي بال B1 نموذج 100 اقل من سعر ال...
3,[],2,1,80.0,0,6,Marg,Not in Compound,185000.0,شقة تشطيب فاخر للبيع
4,[],3,1,85.0,0,6,Zahraa Al Maadi,Not in Compound,290000.0,شقة للبيع العمارات مصر العليا واجهة بحرية ...
5,[],3,2,130.0,0,2,Shorouk City,Not in Compound,520000.0,فرصة شقة خلفي مميزة 2حمام للبيع.. لوكيشن ر...
6,[],3,1,100.0,0,3,Helmeyat El Zaytoun,Not in Compound,470000.0,شقتين للبيع فى الزيتون
7,[],3,1,120.0,0,6,Heliopolis,Not in Compound,925000.0,شقه للبيع لوقته
8,[],3,1,130.0,0,1,Heliopolis,Not in Compound,1100000.0,شقه لقطه البيع
9,[],3,1,90.0,0,8,Obour City,Not in Compound,300000.0,شقة للبيع 300 الف قابل للتفاوض
10,[],2,1,82.0,0,3,Helmeyat El Zaytoun,Not in Compound,450000.0,شقه تمليك في الشروق امام مستفي الشروق 82مت...
11,[],2,1,100.0,0,5,Hadayek Helwan,Not in Compound,350000.0,شقة ١٠٠ متر بحدائق حلوان
12,"['Security', 'Covered Parking', 'Elevator']",2,1,86.0,0,1,Nasr City,Not in Compound,550000.0,للبيع شقة بعمارات الضباط زهراء مدينة نصر
13,[],3,2,175.0,0,4,New Cairo - El Tagamoa,Not in Compound,1500000.0,شقه للبيع بالهرم الرئيسي
14,[],3,3,211.0,0,1,Madinaty,Madinaty,2400000.0,للبيع شقه بمدينتي 211متر فيو وايد جاردن
15,[],2,1,82.0,0,3,Helmeyat El Zaytoun,Not in Compound,450000.0,شققه في الاسكان الاستسماري 82م محطه السوبر...
