title,location,bedrooms,bathrooms,area,price,compound,location_neighborhood,location_city,Partly_furnished,Security,Balcony,Shared_Gym,Networked,Shared_Pool,View_of_Water,View_of_Landmark,Children's_Play_Area,Barbecue_Area,Covered_Parking,Shared_Spa,Unfurnished,Kitchen_Appliances,Central_A/C,Children's_Pool,Concierge,Built_in_Wardrobes,Lobby_in_Building,Study,Walk-in_Closet,Pets_Allowed,Maid_Service,Private_Garden,Maids_Room,Private_Gym,Private_Jacuzzi,Private_Pool,Furnished
المنصور اقوى مشروع بمدينة نصر TRUE شقة محسوبة صح,"True, Nasr City Compounds, Nasr City, Cairo",3,2,120,996000.0,1,Nasr City Compounds, Nasr City,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apartment 10Years Installment 260,000 Down Payment","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,135,2600000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Flat With Zero Over - Prime Location In Galleria..,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,196,1300000.0,0,South Investors Area, New Cairo City,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amazing Flat 278 m at Eastown Sodic prime location,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,278,4000000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Modern Villa For Sale in Stone Park,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,500,8000000.0,1,The 5th Settlement, New Cairo City,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apartment  in Lake view Residence - Golden Square.,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,134,2042560.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"Ground floor apartment  for sale ,Stone Residence","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,200,2100000.0,1,The 5th Settlement, New Cairo City,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
FULLY FINISHED APARTMENT AT HYDE PARK 200M,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,200,2500000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Apartment with garden for Sale in Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,205,3500000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
Apartment FULLY FINISHED for Sale in Eastown,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,210,3900000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Apartment with great location with 60 month,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,4,230,1564000.0,0,The 5th Settlement, New Cairo City,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"Apartment lake view down payment 800,000- move now","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,207,800000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
Apartment 215 m. for sale in lake view residence..,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,215,2642000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0
"192m in Hyde Park, immediate receipt + 6 years ins","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,192,3175000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"for sale 179m, the new capital, 0% down payment","Atika, New Capital Compounds, New Capital City, Cairo",2,2,131,1582000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
