title,price,location,property_type,bedrooms,bathrooms,area,amenities,creattion_date
المنصور اقوى مشروع بمدينة نصر TRUE شقة محسوبة صح,"
          996,000
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,2 ,120 sqm,"['Partly furnished', 'Security', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:2 hours ago
"Apartment 10Years Installment 260,000 Down Payment","
          2,600,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,135 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 hour ago
Flat With Zero Over - Prime Location In Galleria..,"
          1,300,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,196 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:23 hours ago
Amazing Flat 278 m at Eastown Sodic prime location,"
          4,000,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,278 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed']",Listed:1 day ago
Modern Villa For Sale in Stone Park,"
          8,000,000
              EGP  ","Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,500 sqm,"['Partly furnished', 'Balcony', 'Study', 'Networked']",Listed:1 day ago
Apartment  in Lake view Residence - Golden Square.,"
          2,042,560
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,134 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Landmark', 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:23 hours ago
"Ground floor apartment  for sale ,Stone Residence","
          2,100,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,200 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Pets Allowed', 'Barbecue Area']",Listed:21 hours ago
FULLY FINISHED APARTMENT AT HYDE PARK 200M,"
          2,500,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,4 ,200 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:18 hours ago
Apartment with garden for Sale in Eastown Sodic,"
          3,500,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,205 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Balcony', 'Shared Gym', 'Maids Room', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Shared Spa']",Listed:19 hours ago
Apartment FULLY FINISHED for Sale in Eastown,"
          3,900,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,4 ,210 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', ""Children's Pool"", 'Concierge', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Shared Spa']",Listed:3 hours ago
